pH,MO,fosforo,azufre,calcio,magnesio,potasio,CIC,CE,anios_est,IPS
4.85,1.53,12.06,7.92,3.46,0.56,0.1,6.73,0.16,15.0,47
4.769,31.3,25.73,76.67,19.49,2.015,0.267,23.78,0.823,3.0,81
8.15,2.83,5.94,4.86,43.26,9.95,0.82,54.23,0.62,3.0,64
5.0,1.6,8.98,18.76,1.44,0.68,0.14,3.9,0.2,0.5,42
7.54,3.208,22.26,7.377,29.08,13.69,0.778,43.76,0.365,7.5,81
5.17,1.32,1.756,4.236,3.582,1.176,0.164,11.66,0.106,0.5,60
4.78,7.5,9.49,15.43,3.42,1.31,0.58,9.17,0.46,0.5,64
4.63,6.03,17.03,6.76,1.56,0.78,0.27,7.82,0.33,3.0,55
4.87,0.91,1.935,2.64,1.32,0.43,0.09,5.73,0.09,15.0,41
4.38,1.71,4.98,3.16,1.09,0.31,0.19,3.28,0.4,0.5,35
5.56,13.29,1.935,9.695,1.722,0.517,0.218,2.599,0.128,0.5,61
4.83,14.03,8.85,6.12,0.295,0.24,0.15,2.05,0.2,7.5,48
5.58,7.433,20.65,32.52,6.223,2.399,0.639,9.411,0.499,0.5,86
5.21,2.14,13.97,8.37,2.83,1.1,0.09,5.29,0.17,15.0,56
6.24,2.777,39.29,5.878,7.444,1.529,0.248,9.349,0.291,0.5,70
4.43,6.4,3.09,7.83,0.37,0.17,0.13,5.99,0.45,3.0,44
7.72,1.05,8.403,87.43,10.29,2.78,8.23,21.5,3.52,0.5,61
6.47,11.45,8.403,19.08,18.1,1.9,0.7,20.82,0.45,0.5,87
5.64,12.36,19.3,7.05,4.9,1.89,0.91,7.78,0.21,0.5,83
4.96,3.516,12.1,5.552,11.15,0.379,0.177,15.37,0.18,15.0,66
8.24,1.212,22.52,13.68,32.41,2.249,0.539,35.27,0.869,0.5,70
7.6,0.77,4.95,5.27,3.26,0.39,0.045,4.45,0.32,15.0,40
6.82,1.16,33.84,11.14,7.88,1.69,0.14,9.8,0.19,0.5,67
6.64,2.942,10.61,3.697,21.72,1.093,0.326,23.39,0.2,0.5,79
5.6,1.364,10.69,4.137,4.829,2.343,0.339,7.578,0.118,15.0,73
5.73,2.24,4.11,5.7,3.92,1.46,0.24,5.68,0.3,0.5,61
4.57,3.95,1.41,5.3,0.71,0.36,0.12,7.67,0.1,0.5,45
5.24,1.241,1.935,3.555,1.088,0.39,0.045,2.481,0.104,0.5,42
5.47,6.38,6.04,22.41,2.39,1.38,0.19,4.83,0.2,7.5,60
5.21,2.346,17.26,4.162,3.654,0.626,0.045,6.193,0.096,15.0,52
8.32,1.14,8.59,30.29,22.61,20.5,0.43,45.88,0.95,0.5,62
5.47,4.03,1.66,3.26,4.42,1.37,0.33,6.49,0.26,3.0,66
7.57,4.737,45.47,24.8,31.73,1.65,0.597,34.47,0.915,7.5,78
8.24,1.198,28.35,364.4,16.97,9.553,0.135,29.75,9.269,0.5,56
5.13,4.795,2.855,22.01,0.364,0.155,0.045,1.832,0.142,0.5,46
6.97,1.4,21.94,5.41,13.72,3.17,0.19,17.23,0.15,0.5,82
5.84,3.74,2.05,4.47,2.33,0.91,0.33,3.65,0.16,0.5,60
4.28,3.74,6.5,6.91,0.725,0.295,0.154,5.706,0.514,3.0,41
5.08,8.17,7.22,11.28,5.75,1.7,0.4,9.32,0.18,0.5,70
4.68,1.09,2.72,3.32,0.26,0.14,0.045,1.45,0.08,0.5,37
5.08,2.09,1.935,1.53,0.295,0.1,0.045,1.76,0.05,7.5,42
6.79,0.771,70.33,1.463,5.359,1.707,0.611,7.836,1.952,0.5,72
4.97,4.728,1.036,4.325,0.996,0.459,0.666,6.849,0.087,0.5,53
5.059,18.06,36.92,14.83,2.077,0.556,0.045,5.204,0.291,3.0,66
7.93,4.74,36.26,9.51,77.43,4.9,1.66,84.4,0.59,0.5,79
5.28,1.74,17.37,7.49,0.66,0.1,0.045,1.72,0.1,3.0,45
4.889,13.73,10.56,6.599,0.962,0.342,0.377,4.218,0.304,3.0,57
4.45,1.36,6.09,3.39,0.771,0.24,0.045,1.806,0.12,0.5,32
5.33,4.77,2.273,9.172,11.83,14.24,0.339,26.82,0.33,0.5,78
6.82,1.136,33.97,7.005,7.401,1.23,0.117,8.849,0.14,0.5,67
4.9,5.628,18.46,4.852,1.26,0.212,0.12,5.946,0.114,3.0,52
